seqnames	start	end	region
chr1	157877779	160085145	1q23.1
chr2	6309646	8332339	2p25.2-25.1
chr2	17316637	19447118	2p24.2
chr2	59783328	61811738	2p16.1-p15
chr2	237903290	239981005	2q37.3
chr3	10033262	12063209	3p25.3-2
chr3	25805957	27856901	3p24.2-1
chr3	30891090	32947950	3p23-22.3
chr4	13160645	15183670	4p15.33
chr6	2564164	4596855	6p25.2-1
chr6	31499753	33525495	6p21.33-31
chr6	162710950	164730548	6q26-27
chr7	10555514	12569226	7p21.3
chr7	156500939	158518154	7q36.3
chr8	29851761	31873733	8p12
chr8	127621059	129642079	8q24.21
chr9	91041089	93141088	9q22.1-2
chr10	112293565	114332462	10q25.2
chr12	127436645	129453801	12q24.32-33
chr13	48308429	50332864	13q14.2
chr14	88953465	91053464	14q31.3-32.11
chr16	48782762	50813466	16q12.1
chr16	78876007	80899300	16q23.1-2
chr18	60313917	62343914	18q21.33-22.1
chr20	21370592	23316274	20p11.23-21
chr20	31907250	33938863	20q11.21-22
chr21	25027018	27038228	21q21.2-3
chr21	31706790	33729067	21q22.11
chrX	106573021	108596885	Xq22.3

